user_supplied_name,submitted_name,data_source_title,score,matched_name2
Grimmiaceae,Grimmiaceae,Catalogue of Life Checklist,0.75,Grimmiaceae
Grimmiaceae,Grimmiaceae,Encyclopedia of Life,0.75,Grimmiaceae
Grimmiaceae,Grimmiaceae,Tropicos - Missouri Botanical Garden,0.75,Grimmiaceae
Ceratodon,Ceratodon,Catalogue of Life Checklist,0.75,Ceratodon
Ceratodon,Ceratodon,Encyclopedia of Life,0.75,Ceratodon
Ceratodon,Ceratodon,Tropicos - Missouri Botanical Garden,0.75,Ceratodon
Ceratodon purpureus,Ceratodon purpureus,Encyclopedia of Life,0.988,Ceratodon purpureus
Ceratodon purpureus,Ceratodon purpureus,Catalogue of Life Checklist,0.988,Ceratodon purpureus
Ceratodon purpureus,Ceratodon purpureus,Tropicos - Missouri Botanical Garden,0.988,Ceratodon purpureus
Ceratodon stenocarpus,Ceratodon stenocarpus,Encyclopedia of Life,0.988,Ceratodon stenocarpus
Ceratodon stenocarpus,Ceratodon stenocarpus,Tropicos - Missouri Botanical Garden,0.988,Ceratodon stenocarpus
Distichium,Distichium,Catalogue of Life Checklist,0.75,Distichium
Distichium,Distichium,Encyclopedia of Life,0.75,Distichium
Distichium,Distichium,Tropicos - Missouri Botanical Garden,0.75,Distichium
Distichium capillaceum,Distichium capillaceum,Encyclopedia of Life,0.988,Distichium capillaceum
Distichium capillaceum,Distichium capillaceum,Catalogue of Life Checklist,0.988,Distichium capillaceum
Distichium capillaceum,Distichium capillaceum,Tropicos - Missouri Botanical Garden,0.988,Distichium capillaceum
Distichium inclinatum,Distichium inclinatum,Encyclopedia of Life,0.988,Distichium inclinatum
Distichium inclinatum,Distichium inclinatum,Catalogue of Life Checklist,0.988,Distichium inclinatum
Distichium inclinatum,Distichium inclinatum,Tropicos - Missouri Botanical Garden,0.988,Distichium inclinatum
Ditrichum,Ditrichum,Catalogue of Life Checklist,0.75,Ditrichum
Ditrichum,Ditrichum,Encyclopedia of Life,0.75,Ditrichum
Ditrichum,Ditrichum,The International Plant Names Index,0.75,Ditrichum
Ditrichum,Ditrichum,Tropicos - Missouri Botanical Garden,0.75,Ditrichum
Ditrichum ambiguum,Ditrichum ambiguum,Encyclopedia of Life,0.988,Ditrichum ambiguum
Ditrichum ambiguum,Ditrichum ambiguum,Catalogue of Life Checklist,0.988,Ditrichum ambiguum
Ditrichum ambiguum,Ditrichum ambiguum,Tropicos - Missouri Botanical Garden,0.988,Ditrichum ambiguum
Ditrichum heteromallum,Ditrichum heteromallum,Encyclopedia of Life,0.988,Ditrichum heteromallum
Ditrichum heteromallum,Ditrichum heteromallum,Catalogue of Life Checklist,0.988,Ditrichum heteromallum
Ditrichum heteromallum,Ditrichum heteromallum,Tropicos - Missouri Botanical Garden,0.988,Ditrichum heteromallum
Ditrichum montanum,Ditrichum montanum,Encyclopedia of Life,0.988,Ditrichum montanum
Ditrichum montanum,Ditrichum montanum,Catalogue of Life Checklist,0.988,Ditrichum montanum
Ditrichum montanum,Ditrichum montanum,Tropicos - Missouri Botanical Garden,0.988,Ditrichum montanum
Ditrichum pusillum,Ditrichum pusillum,Encyclopedia of Life,0.988,Ditrichum pusillum
Ditrichum pusillum,Ditrichum pusillum,Catalogue of Life Checklist,0.988,Ditrichum pusillum
Ditrichum pusillum,Ditrichum pusillum,Tropicos - Missouri Botanical Garden,0.988,Ditrichum pusillum
Ditrichum schimperi,Ditrichum schimperi,Encyclopedia of Life,0.988,Ditrichum schimperi
