user_supplied_name,submitted_name,data_source_title,score,matched_name2
Grimmia incurva,Grimmia incurva,Tropicos - Missouri Botanical Garden,0.988,Grimmia incurva
Grimmia laevigata,Grimmia laevigata,Encyclopedia of Life,0.988,Grimmia laevigata
Grimmia laevigata,Grimmia laevigata,Catalogue of Life Checklist,0.988,Grimmia laevigata
Grimmia laevigata,Grimmia laevigata,Tropicos - Missouri Botanical Garden,0.988,Grimmia laevigata
Grimmia leibergii,Grimmia leibergii,Encyclopedia of Life,0.988,Grimmia leibergii
Grimmia leibergii,Grimmia leibergii,Catalogue of Life Checklist,0.988,Grimmia leibergii
Grimmia leibergii,Grimmia leibergii,Tropicos - Missouri Botanical Garden,0.988,Grimmia leibergii
Grimmia lesherae,Grimmia lesherae,Encyclopedia of Life,0.988,Grimmia lesherae
Grimmia lesherae,Grimmia lesherae,Tropicos - Missouri Botanical Garden,0.988,Grimmia lesherae
Grimmia lisae,Grimmia lisae,Encyclopedia of Life,0.988,Grimmia lisae
Grimmia lisae,Grimmia lisae,Catalogue of Life Checklist,0.988,Grimmia lisae
