user_supplied_name,submitted_name,data_source_title,score,matched_name2
Machilidae,Machilidae,Encyclopedia of Life,0.75,Machilidae
Maindroniidae,Maindroniidae,Encyclopedia of Life,0.75,Maindroniidae
Mecicobothriidae,Mecicobothriidae,Catalogue of Life Checklist,0.75,Mecicobothriidae
Mecicobothriidae,Mecicobothriidae,Encyclopedia of Life,0.75,Mecicobothriidae
Meinertellidae,Meinertellidae,Catalogue of Life Checklist,0.75,Meinertellidae
Meinertellidae,Meinertellidae,Encyclopedia of Life,0.75,Meinertellidae
Melanothripidae,Melanothripidae,Encyclopedia of Life,0.75,Melanothripidae
Membracidae,Membracidae,Catalogue of Life Checklist,0.75,Membracidae
Membracidae,Membracidae,Encyclopedia of Life,0.75,Membracidae
Merothripidae,Merothripidae,Encyclopedia of Life,0.75,Merothripidae
Merothripidae,Merothripidae,Catalogue of Life Checklist,0.75,Merothripidae
Mimetidae,Mimetidae,Catalogue of Life Checklist,0.75,Mimetidae
Mimetidae,Mimetidae,Encyclopedia of Life,0.75,Mimetidae
Miturgidae,Miturgidae,Catalogue of Life Checklist,0.75,Miturgidae
Miturgidae,Miturgidae,Encyclopedia of Life,0.75,Miturgidae
Mogoplistidae,Mogoplistidae,Encyclopedia of Life,0.75,Mogoplistidae
Mogoplistidae,Mogoplistidae,Catalogue of Life Checklist,0.75,Mogoplistidae
Mutillidae,Mutillidae,Catalogue of Life Checklist,0.75,Mutillidae
Mutillidae,Mutillidae,Encyclopedia of Life,0.75,Mutillidae
Myrmeleontidae,Myrmeleontidae,Catalogue of Life Checklist,0.75,Myrmeleontidae
Myrmeleontidae,Myrmeleontidae,Encyclopedia of Life,0.75,Myrmeleontidae
Mysmenidae,Mysmenidae,Catalogue of Life Checklist,0.75,Mysmenidae
Mysmenidae,Mysmenidae,Encyclopedia of Life,0.75,Mysmenidae
Nemesiidae,Nemesiidae,Catalogue of Life Checklist,0.75,Nemesiidae
Nemesiidae,Nemesiidae,Encyclopedia of Life,0.75,Nemesiidae
Neobisiidae,Neobisiidae,Encyclopedia of Life,0.75,Neobisiidae
Neobisiidae,Neobisiidae,Catalogue of Life Checklist,0.75,Neobisiidae
Nesticidae,Nesticidae,Catalogue of Life Checklist,0.75,Nesticidae
Nesticidae,Nesticidae,Encyclopedia of Life,0.75,Nesticidae
Nicoletiidae,Nicoletiidae,Catalogue of Life Checklist,0.75,Nicoletiidae
Nicoletiidae,Nicoletiidae,Encyclopedia of Life,0.75,Nicoletiidae
Oecobiidae,Oecobiidae,Catalogue of Life Checklist,0.75,Oecobiidae
Oecobiidae,Oecobiidae,Encyclopedia of Life,0.75,Oecobiidae
Oonopidae,Oonopidae,Catalogue of Life Checklist,0.75,Oonopidae
Oonopidae,Oonopidae,Encyclopedia of Life,0.75,Oonopidae
Oxyopidae,Oxyopidae,Catalogue of Life Checklist,0.75,Oxyopidae
Oxyopidae,Oxyopidae,Encyclopedia of Life,0.75,Oxyopidae
Pentatomidae,Pentatomidae,Catalogue of Life Checklist,0.75,Pentatomidae
Pentatomidae,Pentatomidae,Encyclopedia of Life,0.75,Pentatomidae
Philodromidae,Philodromidae,Catalogue of Life Checklist,0.75,Philodromidae
Philodromidae,Philodromidae,Encyclopedia of Life,0.75,Philodromidae
Phlaeothripidae,Phlaeothripidae,Encyclopedia of Life,0.75,Phlaeothripidae
Phlaeothripidae,Phlaeothripidae,Catalogue of Life Checklist,0.75,Phlaeothripidae
Pholcidae,Pholcidae,Catalogue of Life Checklist,0.75,Pholcidae
Pholcidae,Pholcidae,Encyclopedia of Life,0.75,Pholcidae
Pimoidae,Pimoidae,Catalogue of Life Checklist,0.75,Pimoidae
Pimoidae,Pimoidae,Encyclopedia of Life,0.75,Pimoidae
Pisauridae,Pisauridae,Catalogue of Life Checklist,0.75,Pisauridae
Pisauridae,Pisauridae,Encyclopedia of Life,0.75,Pisauridae
Platyarthridae,Platyarthridae,Encyclopedia of Life,0.75,Platyarthridae
Platyarthridae,Platyarthridae,Catalogue of Life Checklist,0.75,Platyarthridae
Plectreuridae,Plectreuridae,Catalogue of Life Checklist,0.75,Plectreuridae
Plectreuridae,Plectreuridae,Encyclopedia of Life,0.75,Plectreuridae
Porcellionidae,Porcellionidae,Encyclopedia of Life,0.75,Porcellionidae
Porcellionidae,Porcellionidae,Catalogue of Life Checklist,0.75,Porcellionidae
Prodidomidae,Prodidomidae,Encyclopedia of Life,0.75,Prodidomidae
Prophalangopsidae,Prophalangopsidae,Encyclopedia of Life,0.75,Prophalangopsidae
Prophalangopsidae,Prophalangopsidae,Catalogue of Life Checklist,0.75,Prophalangopsidae
Protrinemuridae,Protrinemuridae,Encyclopedia of Life,0.75,Protrinemuridae
Reduviidae,Reduviidae,Encyclopedia of Life,0.75,Reduviidae
Reduviidae,Reduviidae,Catalogue of Life Checklist,0.75,Reduviidae
Rhaphidophoridae,Rhaphidophoridae,Encyclopedia of Life,0.75,Rhaphidophoridae
Rhaphidophoridae,Rhaphidophoridae,Catalogue of Life Checklist,0.75,Rhaphidophoridae
Romaleidae,Romaleidae,Encyclopedia of Life,0.75,Romaleidae
Romaleidae,Romaleidae,Catalogue of Life Checklist,0.75,Romaleidae
Saldidae,Saldidae,Encyclopedia of Life,0.75,Saldidae
Saldidae,Saldidae,Catalogue of Life Checklist,0.75,Saldidae
Salticidae,Salticidae,Catalogue of Life Checklist,0.75,Salticidae
Salticidae,Salticidae,Encyclopedia of Life,0.75,Salticidae
Scytodidae,Scytodidae,Catalogue of Life Checklist,0.75,Scytodidae
Scytodidae,Scytodidae,Encyclopedia of Life,0.75,Scytodidae
Segestriidae,Segestriidae,Catalogue of Life Checklist,0.75,Segestriidae
Segestriidae,Segestriidae,Encyclopedia of Life,0.75,Segestriidae
Selenopidae,Selenopidae,Catalogue of Life Checklist,0.75,Selenopidae
Selenopidae,Selenopidae,Encyclopedia of Life,0.75,Selenopidae
Sicariidae,Sicariidae,Catalogue of Life Checklist,0.75,Sicariidae
Sicariidae,Sicariidae,Encyclopedia of Life,0.75,Sicariidae
Sparassidae,Sparassidae,Catalogue of Life Checklist,0.75,Sparassidae
Sparassidae,Sparassidae,Encyclopedia of Life,0.75,Sparassidae
Curculionidae,Curculionidae,Encyclopedia of Life,0.75,Curculionidae
