"","user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"699","Mielichhoferia mielichhoferniana","Mielichhoferia mielichhoferniana","Tropicos - Missouri Botanical Garden",0.75,"Mielichhoferia mielichhoferiana"
"700","Mielichhoferia mielichhoferniana","Mielichhoferia mielichhoferniana","Encyclopedia of Life",0.75,"Mielichhoferia mielichhoferi"
"701","Mielichhoferia mielichhoferniana","Mielichhoferia mielichhoferniana","Tropicos - Missouri Botanical Garden",0.75,"Mielichhoferia mielichhoferi"
"702","Mielichhoferia shevockii","Mielichhoferia shevockii","Encyclopedia of Life",0.988,"Mielichhoferia shevockii"
"703","Mielichhoferia shevockii","Mielichhoferia shevockii","Tropicos - Missouri Botanical Garden",0.988,"Mielichhoferia shevockii"
"704","Mnium arizonicum","Mnium arizonicum","Encyclopedia of Life",0.988,"Mnium arizonicum"
"705","Mnium arizonicum","Mnium arizonicum","Catalogue of Life Checklist",0.988,"Mnium arizonicum"
"706","Mnium arizonicum","Mnium arizonicum","Tropicos - Missouri Botanical Garden",0.988,"Mnium arizonicum"
"707","Mnium blyttii","Mnium blyttii","Encyclopedia of Life",0.988,"Mnium blyttii"
"708","Mnium blyttii","Mnium blyttii","Catalogue of Life Checklist",0.988,"Mnium blyttii"
"709","Mnium blyttii","Mnium blyttii","Tropicos - Missouri Botanical Garden",0.988,"Mnium blyttii"
"710","Mnium marginatum","Mnium marginatum","Encyclopedia of Life",0.988,"Mnium marginatum"
"711","Mnium marginatum","Mnium marginatum","Catalogue of Life Checklist",0.988,"Mnium marginatum"
"712","Mnium marginatum","Mnium marginatum","Tropicos - Missouri Botanical Garden",0.988,"Mnium marginatum"
"713","Mnium spinulosum","Mnium spinulosum","Encyclopedia of Life",0.988,"Mnium spinulosum"
"714","Mnium spinulosum","Mnium spinulosum","Catalogue of Life Checklist",0.988,"Mnium spinulosum"
"715","Mnium spinulosum","Mnium spinulosum","Tropicos - Missouri Botanical Garden",0.988,"Mnium spinulosum"
"716","Mnium thomsonii","Mnium thomsonii","Encyclopedia of Life",0.988,"Mnium thomsonii"
"717","Mnium thomsonii","Mnium thomsonii","Catalogue of Life Checklist",0.988,"Mnium thomsonii"
"718","Mnium thomsonii","Mnium thomsonii","Tropicos - Missouri Botanical Garden",0.988,"Mnium thomsonii"
"719","Plagiomnium cuspidatum","Plagiomnium cuspidatum","Encyclopedia of Life",0.988,"Plagiomnium cuspidatum"
"720","Plagiomnium cuspidatum","Plagiomnium cuspidatum","Catalogue of Life Checklist",0.988,"Plagiomnium cuspidatum"
"721","Plagiomnium cuspidatum","Plagiomnium cuspidatum","Tropicos - Missouri Botanical Garden",0.988,"Plagiomnium cuspidatum"
"722","Plagiomnium ellipticum","Plagiomnium ellipticum","Encyclopedia of Life",0.988,"Plagiomnium ellipticum"
"723","Plagiomnium ellipticum","Plagiomnium ellipticum","Catalogue of Life Checklist",0.988,"Plagiomnium ellipticum"
"724","Plagiomnium ellipticum","Plagiomnium ellipticum","Tropicos - Missouri Botanical Garden",0.988,"Plagiomnium ellipticum"
"725","Plagiomnium insigne","Plagiomnium insigne","Encyclopedia of Life",0.988,"Plagiomnium insigne"
"726","Plagiomnium insigne","Plagiomnium insigne","Catalogue of Life Checklist",0.988,"Plagiomnium insigne"
"727","Plagiomnium insigne","Plagiomnium insigne","Tropicos - Missouri Botanical Garden",0.988,"Plagiomnium insigne"
"728","Plagiomnium medium","Plagiomnium medium","Encyclopedia of Life",0.988,"Plagiomnium medium"
"729","Plagiomnium medium","Plagiomnium medium","Catalogue of Life Checklist",0.988,"Plagiomnium medium"
"730","Plagiomnium medium","Plagiomnium medium","Tropicos - Missouri Botanical Garden",0.988,"Plagiomnium medium"
"731","Plagiomnium rostratum","Plagiomnium rostratum","Encyclopedia of Life",0.988,"Plagiomnium rostratum"
"732","Plagiomnium rostratum","Plagiomnium rostratum","Catalogue of Life Checklist",0.988,"Plagiomnium rostratum"
"733","Plagiomnium rostratum","Plagiomnium rostratum","Tropicos - Missouri Botanical Garden",0.988,"Plagiomnium rostratum"
"734","Plagiomnium venustum","Plagiomnium venustum","Encyclopedia of Life",0.988,"Plagiomnium venustum"
"735","Plagiomnium venustum","Plagiomnium venustum","Catalogue of Life Checklist",0.988,"Plagiomnium venustum"
"736","Plagiomnium venustum","Plagiomnium venustum","Tropicos - Missouri Botanical Garden",0.988,"Plagiomnium venustum"
"737","Pohlia andaluscia","Pohlia andaluscia","Catalogue of Life Checklist",0.75,"Pohlia andalusica"
