"","user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"882","Orthotrichum texanum","Orthotrichum texanum","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum texanum"
"883","Orthotrichum unerwoodii","Orthotrichum unerwoodii","Catalogue of Life Checklist",0.75,"Orthotrichum underwoodii"
"884","Orthotrichum unerwoodii","Orthotrichum unerwoodii","Encyclopedia of Life",0.75,"Orthotrichum underwoodii"
"885","Orthotrichum unerwoodii","Orthotrichum unerwoodii","Tropicos - Missouri Botanical Garden",0.75,"Orthotrichum underwoodii"
"886","Acaulon rufescens","Acaulon rufescens","Tropicos - Missouri Botanical Garden",0.988,"Acaulon rufescens"
"887","Acaulon triquetrum","Acaulon triquetrum","Encyclopedia of Life",0.988,"Acaulon triquetrum"
"888","Acaulon triquetrum","Acaulon triquetrum","Catalogue of Life Checklist",0.988,"Acaulon triquetrum"
"889","Acaulon triquetrum","Acaulon triquetrum","Tropicos - Missouri Botanical Garden",0.988,"Acaulon triquetrum"
"890","Aloina ambigua","Aloina ambigua","Encyclopedia of Life",0.988,"Aloina ambigua"
"891","Aloina ambigua","Aloina ambigua","Catalogue of Life Checklist",0.988,"Aloina ambigua"
"892","Aloina ambigua","Aloina ambigua","Tropicos - Missouri Botanical Garden",0.988,"Aloina ambigua"
"893","Aloina bifrons","Aloina bifrons","Encyclopedia of Life",0.988,"Aloina bifrons"
