Subfamily	Genus	Species	Subspecies	Author Date
Myrmicinae	Pheidole	desertorum		Wheeler, 1906
Myrmicinae	Pheidole	hyatti		Emery, 1895
Myrmicinae	Pheidole	pallidula		(Nylander, 1849)
Myrmicinae	Pheidole	perpilosa		Wilson, 2003
Myrmicinae	Pheidole	pilifera		(Roger, 1863)
Myrmicinae	Pheidole	rugosula		Forel, 1902
Myrmicinae	Pheidole	rugulosa		Gregg, 1959
Myrmicinae	Pheidole	sciara		Cole, 1955
Myrmicinae	Pheidole	sciophila		Wheeler, 1908
Myrmicinae	Pheidole	senex		Gregg, 1952
Myrmicinae	Pheidole	soritis		Wheeler, 1908
Myrmicinae	Pheidole	tysoni		Forel, 1901
Myrmicinae	Pheidole	wheelerorum		MacKay, 1988
Myrmicinae	Pheidole	xerophila		Wheeler, 1908
Myrmicinae	Pogonomyrmex	anergismus		Cole, 1954
Myrmicinae	Pogonomyrmex	apache		Wheeler, 1902
Myrmicinae	Pogonomyrmex	barbatus		(Smith, 1858)
Myrmicinae	Pogonomyrmex	californicus		(Buckley, 1867)
Myrmicinae	Pogonomyrmex	desertorum		Wheeler, 1902
Myrmicinae	Pogonomyrmex	huachucanus		Wheeler, 1914
Myrmicinae	Pogonomyrmex	imberbiculus		Wheeler, 1902
Myrmicinae	Pogonomyrmex	maricopa		Wheeler, 1914
Myrmicinae	Pogonomyrmex	occidentalis		(Cresson, 1865)
Myrmicinae	Pogonomyrmex	rugosus		Emery, 1895
Myrmicinae	Pogonomyrmex	tenuispinus		Forel, 1914
Myrmicinae	Pogonomyrmex	texanus		Francke & Merickel, 1982
Myrmicinae	Solenopsis	aurea		Wheeler, 1906
Myrmicinae	Solenopsis	carolinensis		Forel, 1901
Myrmicinae	Solenopsis	invicta		Buren, 1972
Myrmicinae	Solenopsis	krockowi		Wheeler, 1908
Myrmicinae	Solenopsis	longiceps		Forel, 1907
Myrmicinae	Solenopsis	molesta		(Say, 1836)
Myrmicinae	Solenopsis	pulleni		Pacheco <i>et al.</i>, 2013
Myrmicinae	Solenopsis	quadridentata		Pacheco <i>et al.</i>, 2013
Myrmicinae	Solenopsis	salina		Wheeler, 1908
Myrmicinae	Solenopsis	xyloni		McCook, 1880
Myrmicinae	Stenamma	huachucanum		Smith, 1957
Myrmicinae	Strumigenys	macgowni		Booher, 2021
Myrmicinae	Temnothorax	bestelmeyeri		(Mackay, 2000)
Myrmicinae	Temnothorax	carinatus		(Cole, 1957)
Myrmicinae	Temnothorax	cokendolpheri		(Mackay, 2000)
Myrmicinae	Temnothorax	coleenae		(Mackay, 2000)
Myrmicinae	Temnothorax	emmae		(Mackay, 2000)
Myrmicinae	Temnothorax	josephi		(Mackay, 2000)
Myrmicinae	Temnothorax	neomexicanus		(Wheeler, 1903)
Myrmicinae	Temnothorax	nitens		(Emery, 1895)
Myrmicinae	Temnothorax	obliquicanthus		(Cole, 1953)
Myrmicinae	Temnothorax	pergandei		(Emery, 1895)
Myrmicinae	Temnothorax	rugatulus		(Emery, 1895)
Myrmicinae	Temnothorax	schmittii		(Wheeler, 1903)
Myrmicinae	Temnothorax	stenotyle		(Cole, 1956)
Myrmicinae	Temnothorax	tricarinatus		(Emery, 1895)
Myrmicinae	Temnothorax	whitfordi		(Mackay, 2000)
Myrmicinae	Tetramorium	caespitum		(Linnaeus, 1758)
Myrmicinae	Tetramorium	hispidum		(Wheeler, 1915)
Myrmicinae	Trachymyrmex	arizonensis		(Wheeler, 1907)
Myrmicinae	Trachymyrmex	carinatus		Mackay & MacKay, 1997
Myrmicinae	Trachymyrmex	smithi		Buren, 1944
Ponerinae	Hypoponera	opacior		(Forel, 1893)
Pseudomyrmecinae	Pseudomyrmex	apache		Creighton, 1953
