Subfamily,Genus,Species,Subspecies,Author_Date,Arizona,California,BajaCalifornia,Colorado,NewMexico,Nevada,Sonora,Utah,GenSp,GenSpSp,TaxonomicLevelCode
Formicinae,Camponotus,festinatus,NA,"(Buckley, 1866)",1,0,1,0,1,0,1,0,Camponotus festinatus,NA,60
Formicinae,Camponotus,fragilis,NA,"Pergande, 1893",1,1,0,0,1,0,1,0,Camponotus fragilis,NA,60
Formicinae,Camponotus,herculeanus,NA,"(Linnaeus, 1758)",1,0,0,1,0,0,0,1,Camponotus herculeanus,NA,60
Formicinae,Camponotus,hyatti,NA,"Emery, 1893",1,1,1,0,1,1,0,1,Camponotus hyatti,NA,60
Formicinae,Camponotus,laevigatus,NA,"(Smith, 1858)",1,1,1,1,1,1,0,0,Camponotus laevigatus,NA,60
Formicinae,Camponotus,laevissimus,NA,"Mackay, 2019",1,1,1,1,0,0,0,1,Camponotus laevissimus,NA,60
Formicinae,Camponotus,maccooki,NA,"Forel, 1879",1,0,1,0,0,0,0,0,Camponotus maccooki,NA,60
Formicinae,Camponotus,microps,NA,"Snelling, 2006",1,0,0,0,0,0,0,0,Camponotus microps,NA,60
Formicinae,Camponotus,mina,NA,"Forel, 1879",1,0,1,0,0,0,1,0,Camponotus mina,NA,60
Formicinae,Camponotus,modoc,NA,"Wheeler, 1910",1,1,0,1,1,1,0,1,Camponotus modoc,NA,60
Formicinae,Camponotus,ocreatus,NA,"Emery, 1893",1,1,1,0,0,0,0,0,Camponotus ocreatus,NA,60
Formicinae,Camponotus,pennsylvanicus,NA,"(De Geer, 1773)",1,0,0,0,1,0,0,0,Camponotus pennsylvanicus,NA,60
Formicinae,Camponotus,pudorosus,NA,"Emery, 1925",1,0,0,0,0,0,1,0,Camponotus pudorosus,NA,60
Formicinae,Camponotus,sansabeanus,NA,"(Buckley, 1866)",1,1,0,1,1,1,1,1,Camponotus sansabeanus,NA,60
Formicinae,Camponotus,sayi,NA,"Emery, 1893",1,1,1,0,0,1,0,0,Camponotus sayi,NA,60
Formicinae,Camponotus,schaefferi,NA,"Wheeler, 1909",1,0,0,0,0,0,0,0,Camponotus schaefferi,NA,60
Formicinae,Camponotus,semitestaceus,NA,"Snelling, 1970",1,1,0,0,0,1,0,0,Camponotus semitestaceus,NA,60
Formicinae,Camponotus,trepidulus,NA,"Creighton, 1965",1,0,0,0,0,0,0,0,Camponotus trepidulus,NA,60
Formicinae,Camponotus,ulcerosus,NA,"Wheeler, 1910",1,0,0,0,0,0,0,0,Camponotus ulcerosus,NA,60
Formicinae,Camponotus,vafer,NA,"Wheeler, 1910",1,0,0,0,0,0,0,0,Camponotus vafer,NA,60
Formicinae,Camponotus,vicinus,NA,"Mayr, 1870",1,1,1,1,1,1,1,1,Camponotus vicinus,NA,60
Formicinae,Colobopsis,papago,NA,"(Creighton, 1953)",1,0,0,0,0,0,1,0,Colobopsis papago,NA,60
Formicinae,Formica,argentea,NA,"Wheeler, 1912",1,1,1,1,1,1,0,1,Formica argentea,NA,60
Formicinae,Formica,aserva,NA,"Forel, 1901",1,1,0,1,1,1,0,1,Formica aserva,NA,60
Formicinae,Formica,az01,NA,null,1,0,0,0,0,0,0,0,Formica az01,NA,60
Formicinae,Formica,az02,NA,null,1,0,0,0,0,0,0,0,Formica az02,NA,60
Formicinae,Formica,az03,NA,null,1,0,0,0,0,0,0,0,Formica az03,NA,60
Formicinae,Formica,az04,NA,null,1,0,0,0,0,0,0,0,Formica az04,NA,60
Formicinae,Formica,browni,NA,"Francoeur, 1973",1,0,0,0,0,0,0,0,Formica browni,NA,60
Formicinae,Formica,densiventris,NA,"Viereck, 1903",1,1,0,1,1,1,0,1,Formica densiventris,NA,60
Formicinae,Formica,foreliana,NA,"Wheeler, 1913",1,0,0,0,0,0,0,0,Formica foreliana,NA,60
Formicinae,Formica,fusca,NA,"Linnaeus, 1758",1,0,0,1,1,1,0,1,Formica fusca,NA,60
Formicinae,Formica,gnava,NA,"Buckley, 1866",1,1,0,1,1,1,0,1,Formica gnava,NA,60
Formicinae,Formica,hewitti,NA,"Wheeler, 1917",1,1,0,1,1,0,0,1,Formica hewitti,NA,60
Formicinae,Formica,lasioides,NA,"Emery, 1893",1,1,1,1,1,1,0,1,Formica lasioides,NA,60
Formicinae,Formica,moki,NA,"Wheeler, 1906",1,1,0,0,0,1,0,1,Formica moki,NA,60
Formicinae,Formica,neoclara,NA,"Emery, 1893",1,1,0,1,1,1,0,1,Formica neoclara,NA,60
Formicinae,Formica,neogagates,NA,"Viereck, 1903",1,1,0,1,1,1,0,1,Formica neogagates,NA,60
Formicinae,Formica,neorufibarbis,NA,"Emery, 1893",1,1,0,1,1,1,0,1,Formica neorufibarbis,NA,60
Formicinae,Formica,obscuripes,NA,"Forel, 1886",1,1,0,1,1,1,0,1,Formica obscuripes,NA,60
Formicinae,Formica,occulta,NA,"Francoeur, 1973",1,0,0,1,1,0,0,1,Formica occulta,NA,60
Formicinae,Formica,perpilosa,NA,"Wheeler, 1910",1,1,0,1,1,1,1,1,Formica perpilosa,NA,60
Formicinae,Formica,propinqua,NA,"Creighton, 1940",1,1,0,1,0,1,0,1,Formica propinqua,NA,60
Formicinae,Formica,puberula,NA,"Emery, 1893",1,1,0,1,0,0,0,1,Formica puberula,NA,60
Formicinae,Formica,subaenescens,NA,"Emery, 1893",1,1,0,0,0,1,0,1,Formica subaenescens,NA,60
Formicinae,Formica,wheeleri,NA,"Creighton, 1935",1,0,0,1,1,0,0,1,Formica wheeleri,NA,60
Formicinae,Lasius,alienus,NA,"(Foerster, 1850)",1,0,0,1,1,1,0,1,Lasius alienus,NA,60
Formicinae,Lasius,americanus,NA,"Emery, 1893",1,0,0,0,0,0,0,0,Lasius americanus,NA,60
Formicinae,Lasius,arizonicus,NA,"Wheeler, 1917",1,0,0,0,0,0,0,0,Lasius arizonicus,NA,60
Formicinae,Lasius,az01,NA,null,1,0,0,0,0,0,0,0,Lasius az01,NA,60
Formicinae,Lasius,brevicornis,NA,"Emery, 1893",1,1,0,0,0,1,0,1,Lasius brevicornis,NA,60
Formicinae,Lasius,colei,NA,"(Wing, 1968)",1,0,0,0,0,0,0,0,Lasius colei,NA,60
Formicinae,Lasius,fallax,NA,"Wilson, 1955",1,0,0,1,0,0,0,1,Lasius fallax,NA,60
Formicinae,Lasius,flavus,NA,"(Fabricius, 1782)",1,0,0,1,0,1,0,1,Lasius flavus,NA,60
Formicinae,Lasius,humilis,NA,"Wheeler, 1917",1,1,0,1,0,1,0,1,Lasius humilis,NA,60
Formicinae,Lasius,interjectus,NA,"Mayr, 1866",1,0,0,1,0,0,0,1,Lasius interjectus,NA,60
Formicinae,Lasius,latipes,NA,"(Walsh, 1863)",1,1,0,1,1,1,0,1,Lasius latipes,NA,60
Formicinae,Lasius,murphyi,NA,"Forel, 1901",1,1,0,1,0,0,0,0,Lasius murphyi,NA,60
Formicinae,Lasius,neoniger,NA,"Emery, 1893",1,0,0,1,1,1,0,1,Lasius neoniger,NA,60
Formicinae,Lasius,occidentalis,NA,"Wheeler, 1909",1,0,0,1,0,0,0,0,Lasius occidentalis,NA,60
Formicinae,Lasius,pallitarsis,NA,"(Provancher, 1881)",1,1,0,1,1,1,0,1,Lasius pallitarsis,NA,60
Formicinae,Lasius,sitiens,NA,"Wilson, 1955",1,1,0,1,1,1,0,1,Lasius sitiens,NA,60
Formicinae,Lasius,subumbratus,NA,"Viereck, 1903",1,1,0,1,1,1,0,1,Lasius subumbratus,NA,60
Formicinae,Lasius,umbratus,NA,"(Nylander, 1846)",1,0,0,1,0,0,0,1,Lasius umbratus,NA,60
Formicinae,Myrmecocystus,az02,NA,null,1,0,0,0,0,0,0,0,Myrmecocystus az02,NA,60
Formicinae,Myrmecocystus,creightoni,NA,"Snelling, 1971",1,1,0,0,0,0,0,0,Myrmecocystus creightoni,NA,60
